Model,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Logistic Regression,0.9049,0.9011,0.9049,0.9024,0.8705
SVM,0.9094,0.9053,0.9094,0.9022,0.8752
Random Forest,0.8574,0.8494,0.8574,0.8493,0.8312
K-Nearest Neighbors,0.8796,0.8763,0.8796,0.8771,0.8344
