Model,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Logistic Regression,0.8982,0.8974,0.8982,0.8976,0.8733
SVM,0.9094,0.904,0.9094,0.904,0.8726
Random Forest,0.865,0.8603,0.865,0.8579,0.8452
K-Nearest Neighbors,0.8824,0.8789,0.8824,0.8798,0.8419
LightGBM,0.8821,0.8802,0.8821,0.8792,0.8673
